Lease ID                 Complex ID  Apt ID  Lessee Name         Start Date     End Date       Rent($)   Deposit($)

001-202-1605450149585    001         202     Jennie              2020-11-15     2021-05-15     1200.0    2900.0    
001-203-1605450423847    001         203     William Jafferson   2020-11-12     2021-11-12     1100.0    2200.0    
001-204-1605450584963    001         302     Jackie Chan         2020-11-15     2021-11-15     1800.0    2900.0    
001-205-1605450680439    001         205     Bruce Lee           2020-11-15     2021-05-15     1000.0    2700.0    
001-301-1605455083231    001         301     John Snow           2020-11-15     2021-11-15     1200.0    2800.0    
001-304-1606395445662    001         304     Caltha              2020-11-26     2021-05-26     900.0     2000.0    
001-305-1606395445662    001         305     Celandine           2020-11-27     2021-11-27     800.0     3200.0    
001-401-1606395445662    001         401     Charlotte           2020-11-27     2021-05-27     2300.0    2900.0    
001-204-1606395445662    001         204     Cindy Cinthia       2020-11-27     2021-11-27     1200.0    3100.0    
001-402-1606395445662    001         402     Diana               2020-11-27     2021-05-27     2200.0    2800.0    
001-405-1606395445662    001         405     Dora                2020-11-27     2021-05-27     2000.0    2600.0    
001-501-1606395445662    001         501     Edana               2020-11-28     2021-11-28     2200.0    4100.0    
001-502-1606395445662    001         502     Eliza Elizabeth     2020-11-28     2021-05-28     2800.0    3000.0    
001-503-1606395445662    001         503     Eranthe             2020-11-28     2021-11-28     2200.0    4200.0    
001-504-1606395445662    001         504     Faustine            2020-11-28     2021-11-28     1900.0    3900.0    
001-303-1606395445662    001         303     Feronia             2020-11-28     2021-05-28     1200.0    2100.0    
001-505-1606395445662    001         505     Freya               2020-11-28     2021-11-28     1800.0    3800.0    
001-702-1606395445662    001         702     Gamila              2020-11-28     2021-11-28     2800.0    4600.0    
001-701-1606395445662    001         701     Gretel Margaret     2020-11-28     2021-05-28     2200.0    3700.0    
001-604-1606395445662    001         604     Gwen                2020-11-28     2021-11-28     2200.0    4200.0    
001-603-1606395445662    001         603     Haile Haley         2020-11-29     2021-11-29     2100.0    4100.0    
001-602-1606395445662    001         602     Helena Helen        2020-11-29     2021-05-29     2200.0    3100.0    
001-703-1606395445662    001         703     Irina Irene         2020-11-29     2021-05-29     2200.0    3500.0    
001-403-1606395445662    001         403     Isabella            2020-11-29     2021-05-29     2100.0    3300.0    
001-704-1606402769630    001         704     Wenda Wendy         2020-11-29     2021-11-29     1900.0    3900.0    
001-601-1606486629858    001         601     Maradona            2020-11-30     2021-05-30     2300.0    3100.0    
