Payment ID               Complex ID  Apt ID  Lease ID                 Name                Date           Amount($)      Late      

001-202-1605460723185    001         202     001-202-1605450149585    Natasha             2020-11-15     1900.0         Yes       
001-203-1605460829048    001         203     001-203-1605450423847    Welles              2020-11-15     3950.0         No        
001-205-1606396196544    001         205     001-205-1605450680439    Isadora             2020-11-26     9800.0         No        
001-301-1606396196544    001         301     001-301-1605455083231    Jacinda             2020-11-26     13400.0        No        
001-302-1606396196544    001         302     001-204-1605450584963    Ivie Ivy            2020-11-26     12700.0        Yes       
001-303-1606396196544    001         303     001-303-1606395445662    Jamilah             2020-11-26     8800.0         No        
001-304-1606396196544    001         304     001-304-1606395445662    Jasmine             2020-11-26     11000.0        No        
001-305-1606396196544    001         305     001-305-1606395445662    Gwenhwyfar          2020-11-26     17600.0        No        
001-403-1606396196544    001         403     001-403-1606395445662    Jennifer            2020-11-26     14300.0        Yes       
001-405-1606396196544    001         405     001-405-1606395445662    Judith              2020-11-26     8900.0         No        
001-703-1606396196544    001         703     001-703-1606395445662    Kamilia             2020-11-26     10050.0        Yes       
001-702-1606396196544    001         702     001-702-1606395445662    Catherine           2020-11-26     7900.0         No        
001-701-1606396196544    001         701     001-701-1606395445662    Kelly               2020-11-26     16000.0        No        
001-604-1606396196544    001         604     001-604-1606395445662    Kenisha             2020-11-26     8120.0         No        
001-603-1606396196544    001         603     001-603-1606395445662    Laraine             2020-11-26     12090.0        No        
001-501-1606396196544    001         501     001-501-1606395445662    Linnea              2020-11-26     16700.0        No        
001-502-1606396196544    001         502     001-502-1606395445662    Maleah              2020-11-26     12331.0        Yes       
001-503-1606396196544    001         503     001-503-1606395445662    Mathilda            2020-11-26     7600.0         No        
001-504-1606396196544    001         504     001-504-1606395445662    Neoma               2020-11-26     8870.0         No        
001-505-1606396196544    001         505     001-505-1606395445662    Noella              2020-11-26     10080.0        No        
001-704-1606402769630    001         704     001-704-1606402769630    Wenda Wendy         2020-11-26     10950.0        No        
001-601-1606486629858    001         601     001-601-1606486629858    Maradona            2020-11-27     9100.0         No        
